100.000	1.001	3.074	-0.3
127.427	1.001	3.067	0.0
162.378	1.001	3.074	-0.0
206.914	1.002	3.067	0.0
263.665	1.002	3.079	-0.3
335.982	1.001	3.072	0.0
428.133	1.002	3.073	-0.0
545.559	1.003	3.073	-0.3
695.193	1.003	3.071	0.0
885.867	1.002	3.073	-1.0
1128.838	1.003	3.073	-0.3
1438.450	1.003	3.078	-0.0
1832.981	1.003	3.075	-1.0
2335.721	1.003	3.069	-1.0
2976.351	1.003	3.079	-0.7
3792.690	1.003	3.079	-1.0
4832.930	1.003	3.079	-1.0
6158.482	1.004	3.084	-1.0
7847.600	1.004	3.088	-2.0
10000.000	1.004	3.094	-2.6
10000.000	1.004	3.098	-2.6
10685.531	1.004	3.094	-2.8
11418.057	1.005	3.095	-3.0
12200.800	1.004	3.098	-3.0
13037.202	1.005	3.094	-3.0
13930.943	1.005	3.098	-3.0
14885.952	1.005	3.091	-3.0
15906.430	1.006	3.092	-4.0
16996.865	1.005	3.090	-4.0
18162.052	1.005	3.090	-5.0
19407.117	1.004	3.090	-6.0
20737.534	1.002	3.082	-5.0
22159.156	1.000	3.070	-6.0
23678.235	0.999	3.060	-8.0
25301.451	1.001	3.075	-7.9
27035.943	1.004	3.064	-8.1
28889.341	1.003	3.079	-9.7
30869.794	1.004	3.075	-10.0
32986.013	1.006	3.069	-13.0
35247.306	1.007	3.072	-14.0
37663.618	1.005	3.080	-16.0
40245.575	1.005	3.083	-20.0
43004.533	1.005	3.041	-23.0
45952.627	1.004	2.950	-28.0
49102.821	1.005	2.831	-33.0
52468.971	1.006	2.691	-38.7
56065.880	1.005	2.546	-44.0
59909.369	1.005	2.392	-49.0
64016.341	1.007	2.252	-53.0
68404.859	1.006	2.116	-58.0
73094.223	1.007	1.980	-61.0
78105.057	1.006	1.843	-65.0
83459.400	1.007	1.714	-68.0
89180.799	1.006	1.608	-71.0
95294.418	1.007	1.481	-74.0
101827.144	1.007	1.403	-77.0
108807.708	1.008	1.313	-80.0
116266.812	1.009	1.222	-83.0
124237.261	1.008	1.142	-85.0
132754.108	1.007	1.063	-88.0
141854.811	1.009	0.988	-90.0
151579.396	1.008	0.926	-93.0
161970.631	1.005	0.861	-95.0
173074.217	1.006	0.801	-99.0
184938.988	1.006	0.746	-100.0
197617.126	1.003	0.698	-103.0
211164.390	1.006	0.647	-105.0
225640.360	1.004	0.600	-107.0
241108.702	1.004	0.556	-110.0
257637.447	1.010	0.522	-112.0
275299.288	1.007	0.488	-115.0
294171.903	1.005	0.452	-116.0
314338.294	1.004	0.418	-120.0
335887.153	1.004	0.392	-120.0
358913.253	1.004	0.361	-126.0
383517.863	1.003	0.337	-129.0
409809.195	1.003	0.313	-130.0
437902.879	1.003	0.289	-133.0
467922.472	1.003	0.265	-138.0
500000.000	1.002	0.245	-140.0
