R1	Freq_tr(Hz)	V_tr(V)	DC_tr(V)	Freq_sq(Hz)	V_sq(V)	DC_sq(V)	Phase(deg)	rise_tr(s)	fall_tr(s)	rise_sq(s)	fall_sq(s)
17	5144.00	0.4800	4.8136	5148.00	90.0000	44.8800	85.90	0.000061	0.000065	0.000022	0.000028
16	5270.00	0.4800	4.8023	5292.00	92.0000	47.1400	82.90	0.000060	0.000065	0.000022	0.000029
15	5174.00	0.4800	4.8099	5235.00	90.0000	47.0100	81.70	0.000061	0.000066	0.000022	0.000029
14	5374.00	0.4600	4.8023	5374.00	90.0000	45.7600	89.00	0.000056	0.000065	0.000022	0.000029
13	5499.00	0.4600	4.7998	5524.00	90.0000	46.1300	87.20	0.000053	0.000062	0.000023	0.000029
12	5708.00	0.4400	4.7935	5669.00	90.0000	46.0100	80.10	0.000048	0.000055	0.000023	0.000029
11	5798.00	0.4200	4.7948	5847.00	90.0000	46.3800	83.60	0.000049	0.000053	0.000042	0.000063
10	5610.00	0.4400	4.7885	5585.00	90.0000	46.1300	90.70	0.000059	0.000057	0.000023	0.000031
9	5782.00	0.4600	4.7910	5768.00	88.0000	44.8800	86.30	0.000064	0.000059	0.000023	0.000029
8	5978.00	0.4400	4.7860	5955.00	90.0000	46.1300	89.60	0.000050	0.000058	0.000023	0.000030
7	6191.00	0.4200	4.7797	6182.00	90.0000	45.1300	88.10	0.000060	0.000055	0.000024	0.000029
6	6355.00	0.4200	4.7810	6358.00	90.0000	47.0100	86.60	0.000067	0.000057	0.000024	0.000030
5	5340.00	0.4800	4.7747	5367.00	92.0000	45.2500	86.70	0.000057	0.000068	0.000029	0.000034
4	5507.00	0.4400	4.7722	5603.00	90.0000	47.0100	92.10	0.000053	0.000076	0.000029	0.000033
3	5924.00	0.4200	4.7709	5877.00	92.0000	45.5100	91.70	0.000046	0.000055	0.000026	0.000033
2	3423.00	0.4000	4.7747	6176.00	90.0000	47.2600	84.10	0.000046	0.000052	0.000027	0.000032
1	6551.00	0.3600	4.7697	6558.00	88.0000	46.0100	82.90	0.000037	0.000052	0.000024	0.000029
0	6898.00	0.3600	4.7646	6972.00	88.0000	45.8800	83.00	0.000038	0.000052	0.000024	0.000029
