100.000	1.002	0.001	80.0
148.735	1.003	0.002	181.0
221.222	1.002	0.002	264.0
329.034	1.003	0.004	140.0
489.390	1.003	0.005	96.0
727.895	1.003	0.007	166.0
1082.637	1.003	0.012	161.0
1610.262	1.003	0.019	169.0
2395.027	1.003	0.039	166.0
3562.248	1.003	0.081	160.0
5298.317	1.003	0.171	150.0
7880.463	1.005	0.351	134.0
11721.023	1.003	0.681	114.0
17433.288	1.003	1.116	88.0
25929.438	1.000	1.488	62.4
38566.204	1.003	1.705	42.0
57361.525	1.005	1.819	27.0
85316.785	1.005	1.870	16.0
126896.100	1.005	1.897	8.0
188739.182	1.005	1.888	1.0
280721.620	1.009	1.900	-6.0
417531.894	1.004	1.885	-14.0
621016.942	1.006	1.865	-23.0
923670.857	1.003	1.807	-39.0
1373823.796	1.000	1.697	-57.0
2043359.718	0.992	1.405	-87.0
3039195.382	0.987	1.013	-121.0
4520353.656	0.977	0.626	-161.0
6723357.536	0.959	0.378	157.0
10000000.000	0.934	0.269	110.0
