Rf		Freq_tr(Hz)		V_tr(V)		DC_tr(V)		Freq_sq(Hz)		V_sq(V)		DC_sq(V)		Phase(deg)		t_rise_tr(s)		t_fall_tr(s)		t_rise_sq(s)		t_fall_sq(s)	top_tr(V)	base_tr(V)	top_sq(V)	base_sq(V)
80		595.80		7.8300		5.1124		596.10		8.2800		4.6615		98.20		0.000662		0.000682		0.000027		0.000028		8.7400		0.9800		8.6700		0.5100
75		600.50		7.7600		5.1124		600.40		8.2800		4.6938		96.10		0.000649		0.000680		0.000026		0.000027		8.8100		0.9800		8.6700		0.5800
70		606.40		7.7600		5.1165		605.50		8.3500		4.7302		96.90		0.000638		0.000679		0.000026		0.000027		8.8100		0.9800		8.6700		0.5800
65		611.10		7.8300		5.1165		610.60		8.2800		4.7586		94.30		0.000632		0.000682		0.000026		0.000027		8.7400		0.9800		8.6700		0.5800
60		615.90		7.8300		5.1207		615.80		8.3500		4.7990		93.30		0.000614		0.000683		0.000026		0.000027		8.8100		0.9800		8.6700		0.5800
55		621.30		7.8300		5.1207		621.40		8.2800		4.8354		92.80		0.000604		0.000685		0.000026		0.000027		8.8100		0.9800		8.6700		0.5800
50		627.00		7.7600		5.1248		627.50		8.3500		4.8718		92.10		0.000590		0.000686		0.000026		0.000028		8.7400		0.9800		8.6700		0.5800
45		634.40		7.8900		5.1248		634.50		8.2800		4.9082		92.80		0.000579		0.000686		0.000026		0.000027		8.8100		0.9800		8.6700		0.5800
40		642.70		7.8900		5.1248		642.50		8.2200		4.9366		91.00		0.000567		0.000675		0.000027		0.000027		8.8100		0.9800		8.6700		0.5800
35		652.10		7.8300		5.1290		652.10		8.2800		4.9568		92.30		0.000562		0.000664		0.000027		0.000027		8.8100		0.9800		8.6700		0.5800
30		663.30		7.8900		5.1331		664.00		8.2800		4.9770		92.00		0.000550		0.000651		0.000027		0.000027		8.8100		0.9800		8.6700		0.5800
25		677.50		7.8300		5.1331		677.50		8.2800		4.9851		92.10		0.000544		0.000644		0.000026		0.000028		8.8100		0.9100		8.6700		0.5800
20		691.40		7.8900		5.1331		691.40		8.2800		4.9811		92.30		0.000534		0.000630		0.000027		0.000027		8.8100		0.9100		8.6700		0.5800
15		706.00		7.8900		5.1414		706.00		8.2800		4.9811		92.30		0.000522		0.000616		0.000026		0.000027		8.8100		0.9100		8.6700		0.5800
10		721.50		7.8900		5.1414		721.30		8.2200		4.9851		92.50		0.000508		0.000603		0.000027		0.000027		8.8100		0.9100		8.6700		0.5800
5		737.70		7.8900		5.1414		737.00		8.2200		4.9851		92.10		0.000495		0.000586		0.000027		0.000027		8.8100		0.9100		8.6700		0.5800
0		754.10		7.8900		5.1455		753.70		8.2800		4.9851		92.60		0.000483		0.000575		0.000026		0.000027		8.8100		0.9100		8.6700		0.5800
