100.000	1.003	0.002	-78.3
162.378	1.003	0.002	116.0
263.665	1.003	0.003	63.0
428.133	1.003	0.004	94.0
695.193	1.003	0.007	-150.0
1128.838	1.003	0.012	-160.0
1832.981	1.003	0.025	-167.0
2976.351	1.004	0.058	-163.0
4832.930	1.005	0.142	-152.0
7847.600	1.004	0.351	-134.0
12742.750	1.004	0.767	-109.0
20691.381	1.001	1.295	-77.0
33598.183	1.004	1.652	-48.0
54555.948	1.007	1.804	-28.6
88586.679	1.006	1.875	-16.0
143844.989	1.005	1.885	-6.0
233572.147	1.006	1.890	3.0
379269.019	1.007	1.887	11.0
615848.211	1.005	1.866	24.0
1000000.000	1.000	1.792	42.0
