500.000	1.003	0.003	79.5
583.899	1.003	0.003	-88.0
681.877	1.003	0.004	-91.0
796.295	1.003	0.004	-158.0
929.912	1.003	0.005	-168.0
1085.950	1.003	0.007	-157.0
1268.171	1.003	0.005	-170.0
1480.968	1.003	0.010	-167.0
1729.473	1.003	0.013	-168.0
2019.676	1.003	0.021	-165.0
2358.574	1.003	0.036	-168.0
2754.340	1.003	0.052	-163.0
3216.514	1.003	0.068	-162.0
3756.241	1.003	0.089	-159.0
4386.533	1.003	0.119	-154.0
5122.588	1.004	0.163	-150.0
5982.151	1.005	0.217	-144.0
6985.947	1.004	0.283	-139.0
8158.180	1.003	0.376	-132.0
9527.111	1.003	0.487	-125.0
11125.747	1.004	0.624	-117.0
12992.632	1.004	0.790	-108.0
15172.778	1.003	0.961	-98.0
17718.749	1.003	1.140	-88.0
20691.931	1.000	1.292	-77.0
24164.009	0.996	1.428	-67.0
28218.696	1.001	1.572	-58.0
32953.754	1.002	1.644	-50.0
38483.349	1.004	1.725	-42.0
44940.802	1.005	1.803	-36.0
52481.807	1.008	1.814	-29.9
61288.182	1.006	1.844	-25.0
71572.254	1.007	1.876	-20.0
83581.980	1.005	1.886	-16.0
97606.921	1.005	1.899	-13.0
113985.228	1.007	1.889	-9.8
133111.793	1.007	1.916	-7.0
155447.768	1.006	1.897	-4.0
181531.690	1.007	1.888	-1.0
211992.457	1.007	1.902	1.0
247564.500	1.005	1.897	4.0
289105.482	1.007	1.904	6.0
337616.984	1.007	1.896	9.0
394268.650	1.007	1.897	13.0
460426.386	1.004	1.920	17.0
537685.300	1.006	1.874	20.0
627908.154	1.004	1.863	25.0
733270.278	1.003	1.856	30.0
856312.021	1.004	1.822	35.0
1000000.000	1.000	1.805	43.0
