500.000	1.003	0.004	4.9
543.574	1.003	0.005	-87.0
590.946	1.003	0.005	-92.0
642.446	1.003	0.006	-92.0
698.434	1.003	0.006	-152.0
759.301	1.003	0.007	-171.0
825.473	1.003	0.008	-160.0
897.411	1.003	0.008	-171.0
975.619	1.003	0.010	-170.0
1060.643	1.003	0.011	-171.0
1153.076	1.004	0.011	-171.0
1253.565	1.003	0.014	-161.0
1362.811	1.003	0.016	-167.0
1481.578	1.003	0.018	-169.0
1610.695	1.003	0.020	-170.0
1751.064	1.003	0.023	-169.0
1903.666	1.003	0.026	-168.0
2069.568	1.003	0.030	-167.0
2249.927	1.003	0.035	-167.0
2446.004	1.002	0.040	-166.0
2659.170	1.003	0.047	-164.0
2890.912	1.003	0.055	-163.0
3142.850	1.003	0.062	-162.0
3416.744	1.003	0.074	-161.0
3714.507	1.004	0.086	-159.0
4038.221	1.004	0.101	-157.0
4390.145	1.003	0.118	-155.0
4772.738	1.003	0.138	-151.0
5188.675	1.003	0.163	-150.0
5640.859	1.003	0.189	-147.0
6132.450	1.003	0.222	-144.0
6666.883	1.003	0.261	-141.0
7247.891	1.003	0.300	-138.0
7879.532	1.003	0.350	-135.0
8566.220	1.003	0.402	-131.0
9312.752	1.004	0.472	-127.0
10124.343	1.003	0.532	-122.0
11006.662	1.005	0.608	-118.0
11965.874	1.003	0.699	-113.0
13008.680	1.003	0.783	-109.0
14142.365	1.003	0.872	-103.0
15374.849	1.004	0.973	-98.0
16714.741	1.003	1.066	-92.0
18171.403	1.001	1.153	-87.0
19755.010	1.000	1.236	-80.0
21476.626	0.998	1.315	-75.0
23348.278	0.995	1.390	-69.0
25383.041	0.999	1.475	-64.4
27595.131	1.000	1.528	-60.0
30000.000	1.002	1.594	-55.0
30000.000	1.002	1.591	-55.0
38538.811	1.003	1.703	-43.0
49507.998	1.004	1.789	-33.0
63599.312	1.006	1.833	-24.0
81701.394	1.005	1.868	-17.0
104955.819	1.005	1.879	-11.8
134829.081	1.005	1.886	-7.0
173205.081	1.005	1.901	-3.0
222503.927	1.004	1.895	2.0
285834.557	1.006	1.890	6.0
367190.796	1.005	1.885	12.0
471703.219	1.004	1.876	16.0
605962.702	1.004	1.870	23.0
778436.062	1.002	1.835	30.0
1000000.000	1.002	1.789	42.0
