100.000	1.030	0.326	13.3
140.653	1.030	0.329	28.2
197.832	1.030	0.336	-0.1
278.256	1.030	0.263	10.4
391.375	1.030	0.183	2.0
550.479	1.030	0.319	26.4
774.264	1.030	0.198	8.0
1089.023	1.030	0.229	43.0
1531.740	1.030	0.318	91.2
2154.435	1.030	0.239	10.3
3030.271	1.040	0.369	36.3
4262.159	1.030	0.250	139.9
5994.843	1.030	0.340	-146.3
8431.909	1.030	0.638	-131.7
11859.710	1.030	0.790	-114.5
16681.005	1.020	1.090	-94.7
23462.288	1.020	1.560	-67.8
33000.348	1.030	1.720	-49.7
46415.888	1.030	1.820	-34.5
65285.211	1.040	1.890	-23.2
91825.428	1.030	1.970	-14.6
129154.967	1.020	1.930	-7.6
181659.979	1.030	1.950	-1.6
255509.709	1.030	1.910	4.6
359381.366	1.020	1.930	11.1
505479.682	1.020	1.890	18.2
710970.943	1.020	1.910	28.6
1000000.000	1.020	1.810	42.0
