Frequency (Hz),Amplitude
0.0,-135.99999180799998
0.381469727,-135.999991386111
0.762939454,1.2335410892779718e+20
1.1444091809999999,-135.99999180799387
1.525878908,-135.9999918079999
1.907348635,-135.999991807583
2.2888183619999998,-135.99999180799844
2.670288089,-135.99999180799998
3.051757816,-135.99999180758576
3.4332275429999997,1.2335410892779718e+20
3.81469727,-135.99999180799387
4.196166997,-135.9999918079999
4.5776367239999995,-135.9999913949697
4.959106450999999,-135.99999180799844
5.340576178,-135.99999180799998
5.722045905,-135.99999170135908
6.103515632,1.2335410892779718e+20
6.4849853589999995,-135.99999180799387
6.866455085999999,-135.9999918079999
7.247924813,-135.99999180799352
7.62939454,-135.99999180799844
8.010864266999999,-135.99999180799998
8.392333994,-135.99999170078374
8.773803721,1.2335410892779718e+20
9.155273447999999,-135.99999180799387
9.536743175,-135.9999918079999
9.918212901999999,-135.9999918063957
10.299682629,-135.99999180799844
10.681152356,-135.99999180799998
11.062622082999999,-135.99999180799352
11.44409181,1.2335410892779718e+20
11.825561536999999,-135.99999180799387
12.207031264,-135.9999918079999
12.588500991,-135.99999180636843
12.969970717999999,-135.99999180799844
13.351440445,-135.99999180799998
13.732910171999999,-135.99999180797425
14.114379899,1.2335410892779718e+20
14.495849626,-135.99999180799387
14.877319352999999,-135.9999918079999
15.25878908,-135.99999180147364
15.640258806999999,-135.99999180799844
16.021728533999998,-135.99999180799998
16.403198261,-135.99999178221572
16.784667988,1.2335410892779718e+20
17.166137714999998,-135.99999180799387
17.547607442,-135.9999918079999
17.929077169,-135.99999180789916
18.310546895999998,-135.99999180799844
18.692016623,-135.99999180799998
19.07348635,-135.99999180797468
19.454956077,1.2335410892779718e+20
19.836425803999997,-135.99999180799387
20.217895531,-135.9999918079999
20.599365258,-135.99999170474243
20.980834984999998,-135.99999180799844
21.362304712,-135.99999180799998
21.743774439,-135.99999180797482
22.125244165999998,1.2335410892779718e+20
22.506713893,-135.99999180799387
22.88818362,-135.9999918079999
23.269653347,-135.99999138798478
23.651123073999997,-135.99999180799844
24.032592801,-135.99999180799998
24.414062528,-135.99999180759934
24.795532254999998,1.2335410892779718e+20
25.177001982,-135.99999180799387
25.558471709,-135.9999918079999
25.939941435999998,-135.99999138099986
26.321411162999997,-135.99999180799844
26.70288089,-135.99999180799998
27.084350617,-135.9999918079741
27.465820343999997,1.2335410892779718e+20
27.847290071,-135.99999180799387
28.228759798,-135.9999918079999
28.610229524999998,-135.99999180797465
28.991699252,-135.99999180799844
29.373168979,-135.99999180799998
29.754638705999998,-135.99999180633392
30.136108432999997,1.2335410892779718e+20
30.51757816,-135.99999180799387
30.899047887,-135.9999918079999
31.280517613999997,-135.99999180789746
31.661987341,-135.99999180799844
32.043457067999995,-135.99999180799998
32.424926795,-135.99999180758576
32.806396522,1.2335410892779718e+20
33.187866248999995,-135.99999180799387
33.569335976,-135.9999918079999
33.950805703,-135.99999180799364
34.332275429999996,-135.99999180799844
34.713745157,-135.99999180799998
35.095214884,-135.99999180797383
35.476684610999996,1.2335410892779718e+20
35.858154338,-135.99999180799387
36.239624065,-135.9999918079999
36.621093791999996,-135.99999180631386
37.002563519,-135.99999180799844
37.384033246,-135.99999180799998
37.765502973,-135.99999178148528
38.1469727,1.2335410892779718e+20
38.528442426999995,-135.99999180799387
38.909912154,-135.9999918079999
39.291381881,-135.99999178116695
39.672851607999995,-135.99999180799844
40.054321335,-135.99999180799998
40.435791062,-135.99999180637928
40.817260788999995,1.2335410892779718e+20
41.198730516,-135.99999180799387
41.580200243,-135.9999918079999
41.961669969999996,-135.99999180799364
42.343139697,-135.99999180799844
42.724609424,-135.99999180799998
43.106079150999996,-135.99999180799352
43.487548878,1.2335410892779718e+20
43.869018605,-135.99999180799387
44.250488331999996,-135.9999918079999
44.631958059,-135.99999180631386
45.013427786,-135.99999180799844
45.394897513,-135.99999180799998
45.77636724,-135.99999178104815
46.157836966999994,1.2335410892779718e+20
46.539306694,-135.99999180799387
46.920776421,-135.9999918079999
47.302246147999995,-135.99999180636843
47.683715875,-135.99999180799844
48.065185602,-135.99999180799998
48.446655328999995,-135.99999180129828
48.828125056,1.2335410892779718e+20
49.209594783,-135.99999180799387
49.591064509999995,-135.9999918079999
49.972534237,-135.99999178204007
50.354003964,-135.99999180799844
50.735473690999996,-135.99999180799998
51.116943418,-135.9999918079744
51.498413145,1.2335410892779718e+20
51.879882871999996,-135.99999180799387
52.261352599,-135.9999918079999
52.642822325999994,-135.9999917006679
53.024292052999996,-135.99999180799844
53.40576178,-135.99999180799998
53.787231506999994,-135.99999180799358
54.168701234,1.2335410892779718e+20
54.550170961,-135.99999180799387
54.931640687999995,-135.9999918079999
55.313110415,-135.99999180799364
55.694580142,-135.99999180799844
56.076049868999995,-135.99999180799998
56.457519596,-135.99999180799358
56.838989323,1.2335410892779718e+20
57.220459049999995,-135.99999180799387
57.601928777,-135.9999918079999
57.983398504,-135.99999138798478
58.364868230999996,-135.99999180799844
58.746337958,-135.99999180799998
59.127807685,-135.99999139541512
59.509277411999996,1.2335410892779718e+20
59.890747139,-135.99999180799387
60.272216865999994,-135.9999918079999
60.653686592999996,-135.99999180799844
61.03515632,-135.99999180799844
61.416626046999994,-135.99999180799998
61.798095774,-135.99999180759482
62.179565501,1.2335410892779718e+20
62.561035227999994,-135.99999180799387
62.942504955,-135.9999918079999
63.323974682,-135.9999918063957
63.705444408999995,-135.99999180799844
64.08691413599999,-135.99999180799998
64.468383863,-135.99999178221572
64.84985359,1.2335410892779718e+20
65.23132331699999,-135.99999180799387
65.612793044,-135.9999918079999
65.994262771,-135.99999138099986
66.37573249799999,-135.99999180799844
66.757202225,-135.99999180799998
67.138671952,-135.99999180133437
67.52014167899999,1.2335410892779718e+20
67.901611406,-135.99999180799387
68.283081133,-135.9999918079999
68.66455085999999,-135.9999918013645
69.046020587,-135.99999180799844
69.427490314,-135.99999180799998
69.80896004099999,-135.99999180759252
70.190429768,1.2335410892779718e+20
70.571899495,-135.99999180799387
70.95336922199999,-135.9999918079999
71.334838949,-135.9999917029962
71.716308676,-135.99999180799844
72.09777840299999,-135.99999180799998
72.47924813,-135.99999180759252
72.860717857,1.2335410892779718e+20
73.24218758399999,-135.99999180799387
73.623657311,-135.9999918079999
74.005127038,-135.99999180758982
74.386596765,-135.99999180799844
74.768066492,-135.99999180799998
75.149536219,-135.99999180799352
75.531005946,1.2335410892779718e+20
75.912475673,-135.99999180799387
76.2939454,-135.9999918079999
76.675415127,-135.9999918013645
77.05688485399999,-135.99999180799844
77.438354581,-135.99999180799998
77.819824308,-135.99999180759934
78.20129403499999,1.2335410892779718e+20
78.582763762,-135.99999180799387
78.964233489,-135.9999918079999
79.34570321599999,-135.9999917816035
79.727172943,-135.99999180799844
80.10864267,-135.99999180799998
80.49011239699999,-135.99999170253227
80.871582124,1.2335410892779718e+20
81.253051851,-135.99999180799387
81.63452157799999,-135.9999918079999
82.015991305,-135.99999180759664
82.397461032,-135.99999180799844
82.77893075899999,-135.99999180799998
83.160400486,-135.99999180638832
83.541870213,1.2335410892779718e+20
83.92333993999999,-135.99999180799387
84.304809667,-135.9999918079999
84.686279394,-135.99999180634114
85.06774912099999,-135.99999180799844
85.449218848,-135.99999180799998
85.830688575,-135.99999180789473
86.21215830199999,1.2335410892779718e+20
86.593628029,-135.99999180799387
86.975097756,-135.9999918079999
87.35656748299999,-135.99999180789916
87.73803721,-135.99999180799844
88.119506937,-135.99999180799998
88.50097666399999,-135.99999180758118
88.882446391,1.2335410892779718e+20
89.263916118,-135.99999180799387
89.64538584499999,-135.9999918079999
90.026855572,-135.99999138099986
90.408325299,-135.99999180799844
90.789795026,-135.99999180799998
91.17126475299999,-135.99999138842105
91.55273448,1.2335410892779718e+20
91.934204207,-135.99999180799387
92.31567393399999,-135.9999918079999
92.697143661,-135.9999917006679
93.078613388,-135.99999180799844
93.46008311499999,-135.99999180799998
93.841552842,-135.999991807588
94.223022569,1.2335410892779718e+20
94.60449229599999,-135.99999180799387
94.985962023,-135.9999918079999
95.36743175,-135.9999918063957
95.74890147699999,-135.99999180799844
96.130371204,-135.99999180799998
96.511840931,-135.99999180789757
96.89331065799999,1.2335410892779718e+20
97.274780385,-135.99999180799387
97.656250112,-135.9999918079999
98.03771983899999,-135.99999180758982
98.419189566,-135.99999180799844
98.800659293,-135.99999180799998
99.18212901999999,-135.99999170018805
99.563598747,1.2335410892779718e+20
99.945068474,-135.99999180799387
100.32653820099999,-135.9999918079999
100.708007928,-135.9999913949697
101.089477655,-135.99999180799844
101.47094738199999,-135.99999180799998
101.852417109,-135.9999918079744
102.233886836,1.2335410892779718e+20
102.61535656299999,-135.99999180799387
102.99682629,-135.9999918079999
103.378296017,-135.99999138798478
103.75976574399999,-135.99999180799844
104.141235471,-135.99999180799998
104.522705198,-135.99999180632466
104.90417492499999,1.2335410892779718e+20
105.28564465199999,-135.99999180799387
105.667114379,-135.9999918079999
106.04858410599999,-135.99999180759664
106.43005383299999,-135.99999180799844
106.81152356,-135.99999180799998
107.192993287,-135.99999180799347
107.57446301399999,1.2335410892779718e+20
107.955932741,-135.99999180799387
108.337402468,-135.9999918079999
108.71887219499999,-135.9999918079984
109.100341922,-135.99999180799844
109.481811649,-135.99999180799998
109.86328137599999,-135.99999170193658
110.244751103,1.2335410892779718e+20
110.62622083,-135.99999180799387
111.00769055699999,-135.9999918079999
111.389160284,-135.9999918013645
111.770630011,-135.99999180799844
112.15209973799999,-135.99999180799998
112.533569465,-135.99999180637025
112.915039192,1.2335410892779718e+20
113.29650891899999,-135.99999180799387
113.677978646,-135.9999918079999
114.059448373,-135.9999918079934
114.44091809999999,-135.99999180799844
114.822387827,-135.99999180799998
115.203857554,-135.9999917813409
115.58532728099999,1.2335410892779718e+20
115.966797008,-135.99999180799387
116.348266735,-135.9999918079999
116.72973646199999,-135.99999180799838
117.111206189,-135.99999180799844
117.492675916,-135.99999180799998
117.87414564299999,-135.99999180799358
118.25561537,1.2335410892779718e+20
118.637085097,-135.99999180799387
119.01855482399999,-135.9999918079999
119.40002455099999,-135.99999180789519
119.781494278,-135.99999180799844
120.16296400499999,-135.99999180799998
120.54443373199999,-135.99999137911686
120.925903459,1.2335410892779718e+20
121.30737318599999,-135.99999180799387
121.68884291299999,-135.9999918079999
122.07031264,-135.99999180758982
122.45178236699999,-135.99999180799844
122.83325209399999,-135.99999180799998
