Frequency(Hz)	Amplitude
1.602172853399999752e+01	-1.051699897599999787e+02
1.640319826100000000e+01	-1.051699897599786055e+02
1.678466798799999893e+01	1.048509875360427868e+20
1.716613771499999785e+01	-1.051699897599948059e+02
1.754760744200000033e+01	-1.051699897599999218e+02
1.792907716899999926e+01	-1.051699897596590887e+02
1.831054689599999818e+01	-1.051699897599986855e+02
1.869201662300000066e+01	-1.051699897599999787e+02
1.907348634999999959e+01	-1.051699897599139035e+02
1.945495607699999852e+01	1.048509875360427868e+20
1.983642580399999744e+01	-1.051699897599948059e+02
2.021789553099999992e+01	-1.051699897599999218e+02
2.059936525799999885e+01	-1.051699897599945217e+02
2.098083498499999777e+01	-1.051699897599986855e+02
2.136230471200000025e+01	-1.051699897599999787e+02
2.174377443899999918e+01	-1.051699897599782361e+02
2.212524416599999810e+01	1.048509875360427868e+20
2.250671389300000058e+01	-1.051699897599948059e+02
2.288818361999999951e+01	-1.051699897599999218e+02
2.326965334699999843e+01	-1.051699897599945217e+02
2.365112307399999736e+01	-1.051699897599986855e+02
2.403259280099999984e+01	-1.051699897599999787e+02
2.441406252799999876e+01	-1.051699897599986429e+02
2.479553225499999769e+01	1.048509875360427868e+20
2.517700198200000017e+01	-1.051699897599948059e+02
2.555847170899999909e+01	-1.051699897599999218e+02
2.593994143599999802e+01	-1.051699897542670641e+02
2.632141116299999695e+01	-1.051699897599986855e+02
2.670288088999999943e+01	-1.051699897599999787e+02
2.708435061699999835e+01	-1.051699897599781224e+02
2.746582034399999728e+01	1.048509875360427868e+20
2.784729007099999976e+01	-1.051699897599948059e+02
2.822875979799999868e+01	-1.051699897599999218e+02
2.861022952499999761e+01	-1.051699897544835238e+02
2.899169925200000009e+01	-1.051699897599986855e+02
2.937316897899999901e+01	-1.051699897599999787e+02
2.975463870599999794e+01	-1.051699896688584488e+02
3.013610843299999686e+01	1.048509875360427868e+20
3.051757815999999934e+01	-1.051699897599948059e+02
3.089904788699999827e+01	-1.051699897599999218e+02
3.128051761399999720e+01	-1.051699897378103827e+02
3.166198734099999967e+01	-1.051699897599986855e+02
3.204345706799999505e+01	-1.051699897599999787e+02
3.242492679499999753e+01	-1.051699897544585127e+02
3.280639652200000000e+01	1.048509875360427868e+20
3.318786624899999538e+01	-1.051699897599948059e+02
3.356933597599999786e+01	-1.051699897599999218e+02
3.395080570300000034e+01	-1.051699897599787050e+02
3.433227542999999571e+01	-1.051699897599986855e+02
3.471374515699999819e+01	-1.051699897599999787e+02
3.509521488400000067e+01	-1.051699897596516990e+02
3.547668461099999604e+01	1.048509875360427868e+20
3.585815433799999852e+01	-1.051699897599948059e+02
3.623962406500000100e+01	-1.051699897599999218e+02
3.662109379199999637e+01	-1.051699897596590887e+02
3.700256351899999885e+01	-1.051699897599986855e+02
3.738403324600000133e+01	-1.051699897599999787e+02
3.776550297299999670e+01	-1.051699893973974440e+02
3.814697269999999918e+01	1.048509875360427868e+20
3.852844242699999455e+01	-1.051699897599948059e+02
3.890991215399999703e+01	-1.051699897599999218e+02
3.929138188099999951e+01	-1.051699897596436273e+02
3.967285160799999488e+01	-1.051699897599986855e+02
4.005432133499999736e+01	-1.051699897599999787e+02
4.043579106199999984e+01	-1.051699893934703738e+02
4.081726078899999521e+01	1.048509875360427868e+20
4.119873051599999769e+01	-1.051699897599948059e+02
4.158020024300000017e+01	-1.051699897599999218e+02
4.196166996999999554e+01	-1.051699897545144466e+02
4.234313969699999802e+01	-1.051699897599986855e+02
4.272460942400000050e+01	-1.051699897599999787e+02
4.310607915099999587e+01	-1.051699897545516507e+02
4.348754887799999835e+01	1.048509875360427868e+20
4.386901860500000083e+01	-1.051699897599948059e+02
4.425048833199999621e+01	-1.051699897599999218e+02
4.463195805899999868e+01	-1.051699896727258334e+02
4.501342778600000116e+01	-1.051699897599986855e+02
4.539489751299999654e+01	-1.051699897599999787e+02
4.577636723999999901e+01	-1.051699897372141521e+02
4.615783696699999439e+01	1.048509875360427868e+20
4.653930669399999687e+01	-1.051699897599948059e+02
4.692077642099999935e+01	-1.051699897599999218e+02
4.730224614799999472e+01	-1.051699897378103827e+02
4.768371587499999720e+01	-1.051699897599986855e+02
4.806518560199999968e+01	-1.051699897599999787e+02
4.844665532899999505e+01	-1.051699897599782361e+02
4.882812505599999753e+01	1.048509875360427868e+20
4.920959478300000001e+01	-1.051699897599948059e+02
4.959106450999999538e+01	-1.051699897599999218e+02
4.997253423699999786e+01	-1.051699897599109192e+02
5.035400396400000034e+01	-1.051699897599986855e+02
5.073547369099999571e+01	-1.051699897599999787e+02
5.111694341799999819e+01	-1.051699896703485564e+02
5.149841314500000067e+01	1.048509875360427868e+20
5.187988287199999604e+01	-1.051699897599948059e+02
5.226135259899999852e+01	-1.051699897599999218e+02
5.264282232599999389e+01	-1.051699894029870705e+02
5.302429205299999637e+01	-1.051699897599986855e+02
5.340576177999999885e+01	-1.051699897599999787e+02
5.378723150699999422e+01	-1.051699897599143867e+02
5.416870123399999670e+01	1.048509875360427868e+20
5.455017096099999918e+01	-1.051699897599948059e+02
5.493164068799999455e+01	-1.051699897599999218e+02
5.531311041499999703e+01	-1.051699897599986429e+02
5.569458014199999951e+01	-1.051699897599986855e+02
5.607604986899999489e+01	-1.051699897599999787e+02
5.645751959599999736e+01	-1.051699897373368628e+02
5.683898932299999984e+01	1.048509875360427868e+20
5.722045904999999522e+01	-1.051699897599948059e+02
5.760192877699999769e+01	-1.051699897599999218e+02
5.798339850400000017e+01	-1.051699897599945217e+02
5.836486823099999555e+01	-1.051699897599986855e+02
5.874633795799999803e+01	-1.051699897599999787e+02
5.912780768500000050e+01	-1.051699897378321111e+02
5.950927741199999588e+01	1.048509875360427868e+20
5.989074713899999836e+01	-1.051699897599948059e+02
6.027221686599999373e+01	-1.051699897599999218e+02
6.065368659299999621e+01	-1.051699897586054249e+02
6.103515631999999869e+01	-1.051699897599986855e+02
6.141662604699999406e+01	-1.051699897599999787e+02
6.179809577399999654e+01	-1.051699897599986144e+02
6.217956550099999902e+01	1.048509875360427868e+20
6.256103522799999439e+01	-1.051699897599948059e+02
6.294250495499999687e+01	-1.051699897599999218e+02
6.332397468199999935e+01	-1.051699897599114024e+02
6.370544440899999472e+01	-1.051699897599986855e+02
6.408691413599999009e+01	-1.051699897599999787e+02
6.446838386299999968e+01	-1.051699897599986713e+02
6.484985358999999505e+01	1.048509875360427868e+20
6.523132331699999042e+01	-1.051699897599948059e+02
6.561279304400000001e+01	-1.051699897599999218e+02
6.599426277099999538e+01	-1.051699897378103827e+02
6.637573249799999076e+01	-1.051699897599986855e+02
6.675720222500000034e+01	-1.051699897599999787e+02
6.713867195199999571e+01	-1.051699896703524217e+02
6.752014167899999109e+01	1.048509875360427868e+20
6.790161140600000067e+01	-1.051699897599948059e+02
6.828308113299999604e+01	-1.051699897599999218e+02
6.866455085999999142e+01	-1.051699896707467730e+02
6.904602058700000100e+01	-1.051699897599986855e+02
6.942749031399999637e+01	-1.051699897599999787e+02
6.980896004099999175e+01	-1.051699897374615205e+02
7.019042976800000133e+01	1.048509875360427868e+20
7.057189949499999670e+01	-1.051699897599948059e+02
7.095336922199999208e+01	-1.051699897599999218e+02
7.133483894900000166e+01	-1.051699897599147846e+02
7.171630867599999704e+01	-1.051699897599986855e+02
7.209777840299999241e+01	-1.051699897599999787e+02
7.247924813000000199e+01	-1.051699897599110045e+02
7.286071785699999737e+01	1.048509875360427868e+20
7.324218758399999274e+01	-1.051699897599948059e+02
7.362365731100000232e+01	-1.051699897599999218e+02
7.400512703799999770e+01	-1.051699896707467730e+02
7.438659676499999307e+01	-1.051699897599986855e+02
7.476806649200000265e+01	-1.051699897599999787e+02
7.514953621899999803e+01	-1.051699897596497948e+02
