Frequency(Hz)	Amplitude
7.362365731100000232e+01	8.298000000000000000e+03
7.400512703799999770e+01	-3.270400000000000000e+04
7.438659676499999307e+01	1.239400000000000000e+04
7.476806649200000265e+01	2.467500000000000000e+04
7.514953621899999803e+01	-3.267400000000000000e+04
7.553100594599999340e+01	-2.037400000000000000e+04
7.591247567300000298e+01	1.646400000000000000e+04
7.629394539999999836e+01	-1.628100000000000000e+04
7.667541512699999373e+01	8.296000000000000000e+03
7.705688485399998910e+01	4.180000000000000000e+03
7.743835458099999869e+01	1.239400000000000000e+04
7.781982430799999406e+01	-3.267400000000000000e+04
7.820129403499998944e+01	-2.857200000000000000e+04
7.858276376199999902e+01	-8.087000000000000000e+03
7.896423348899999439e+01	8.249000000000000000e+03
7.934570321599998977e+01	8.298000000000000000e+03
7.972717294299999935e+01	-2.857100000000000000e+04
8.010864266999999472e+01	2.466700000000000000e+04
8.049011239699999010e+01	1.649100000000000000e+04
8.087158212399999968e+01	-2.039300000000000000e+04
8.125305185099999505e+01	1.239100000000000000e+04
8.163452157799999043e+01	4.202000000000000000e+03
8.201599130500000001e+01	4.170000000000000000e+03
8.239746103199999538e+01	-2.856600000000000000e+04
8.277893075899999076e+01	8.291000000000000000e+03
8.316040048600000034e+01	-2.447900000000000000e+04
8.354187021299999572e+01	-8.086000000000000000e+03
8.392333993999999109e+01	8.273000000000000000e+03
8.430480966700000067e+01	1.648900000000000000e+04
8.468627939399999605e+01	-1.218500000000000000e+04
8.506774912099999142e+01	2.056600000000000000e+04
8.544921884800000100e+01	-2.856500000000000000e+04
8.583068857499999638e+01	-1.219400000000000000e+04
8.621215830199999175e+01	1.648400000000000000e+04
8.659362802900000133e+01	-2.447000000000000000e+04
8.697509775599999671e+01	-1.223700000000000000e+04
8.735656748299999208e+01	1.239300000000000000e+04
8.773803721000000166e+01	2.467600000000000000e+04
8.811950693699999704e+01	-4.001000000000000000e+03
8.850097666399999241e+01	2.058800000000000000e+04
8.888244639100000200e+01	-4.006000000000000000e+03
8.926391611799999737e+01	-3.994000000000000000e+03
8.964538584499999274e+01	-2.037600000000000000e+04
9.002685557200000233e+01	-2.449800000000000000e+04
9.040832529899999770e+01	-2.446900000000000000e+04
9.078979502599999307e+01	-2.447800000000000000e+04
9.117126475299998845e+01	4.194000000000000000e+03
9.155273447999999803e+01	1.080000000000000000e+02
9.193420420699999340e+01	-2.039800000000000000e+04
9.231567393399998878e+01	-1.218500000000000000e+04
9.269714366099999836e+01	-2.447300000000000000e+04
9.307861338799999373e+01	-1.220300000000000000e+04
9.346008311499998911e+01	1.060000000000000000e+02
9.384155284199999869e+01	-4.005000000000000000e+03
9.422302256899999406e+01	-1.628300000000000000e+04
9.460449229599998944e+01	-1.627900000000000000e+04
9.498596202299999902e+01	-4.052000000000000000e+03
9.536743174999999439e+01	2.468200000000000000e+04
9.574890147699998977e+01	1.238800000000000000e+04
9.613037120399999935e+01	2.876600000000000000e+04
9.651184093099999473e+01	2.877900000000000000e+04
9.689331065799999010e+01	-3.267800000000000000e+04
9.727478038499999968e+01	-2.447200000000000000e+04
9.765625011199999506e+01	8.297000000000000000e+03
9.803771983899999043e+01	8.000000000000000000e+01
9.841918956600000001e+01	-3.990000000000000000e+03
9.880065929299999539e+01	-4.000000000000000000e+03
9.918212901999999076e+01	-2.447700000000000000e+04
