1000.000	1.003	0.011	166.0
1136.464	1.003	0.012	167.0
1291.550	1.004	0.015	166.0
1467.799	1.004	0.018	167.0
1668.101	1.004	0.021	170.0
1895.736	1.004	0.026	168.0
2154.435	1.004	0.032	167.0
2448.437	1.004	0.040	167.0
2782.559	1.004	0.051	163.0
3162.278	1.003	0.065	163.0
3593.814	1.004	0.082	160.0
4084.239	1.004	0.103	156.0
4641.589	1.003	0.132	153.0
5274.997	1.005	0.169	150.0
5994.843	1.004	0.214	145.0
6812.921	1.004	0.270	140.0
7742.637	1.005	0.342	134.0
8799.225	1.003	0.425	129.0
10000.000	1.004	0.530	123.0
11364.637	1.005	0.643	116.0
12915.497	1.004	0.781	109.0
14677.993	1.003	0.922	101.0
16681.005	1.003	1.073	92.0
18957.357	1.002	1.203	83.0
21544.347	0.999	1.324	74.0
24484.367	0.996	1.437	66.0
27825.594	1.002	1.549	58.0
31622.777	1.003	1.620	52.0
35938.137	1.003	1.679	45.0
40842.387	1.004	1.740	40.0
46415.888	1.004	1.770	35.0
52749.971	1.007	1.805	30.1
59948.425	1.006	1.834	26.0
68129.207	1.006	1.860	22.0
77426.368	1.005	1.864	18.0
87992.254	1.006	1.876	16.0
100000.000	1.007	1.882	13.0
113646.367	1.007	1.884	10.1
129154.967	1.007	1.885	8.0
146779.927	1.007	1.888	5.0
166810.054	1.006	1.891	3.0
189573.565	1.007	1.892	1.0
215443.469	1.006	1.891	-1.0
244843.675	1.006	1.887	-4.0
278255.940	1.007	1.893	-5.0
316227.766	1.007	1.893	-8.0
359381.366	1.005	1.893	-12.0
408423.865	1.005	1.887	-11.0
464158.883	1.005	1.879	-16.0
527499.706	1.005	1.871	-19.0
599484.250	1.005	1.866	-23.0
681292.069	1.006	1.859	-27.0
774263.683	1.003	1.837	-31.0
879922.544	1.002	1.813	-36.0
1000000.000	1.003	1.789	-42.0
